timestamp_utc,exchange,pair,best_bid,best_ask,last_price
2026-03-11T08:53:43.582581+00:00,indodax,USDTIDR,16915,16926,16915
2026-03-11T08:54:45.779043+00:00,indodax,USDTIDR,16915,16924,16915
2026-03-11T08:55:47.985025+00:00,indodax,USDTIDR,16915,16920,16920
2026-03-11T08:56:50.495133+00:00,indodax,USDTIDR,16914,16915,16915
2026-03-11T08:57:52.443952+00:00,indodax,USDTIDR,16914,16915,16915
2026-03-11T08:58:54.744316+00:00,indodax,USDTIDR,16914,16926,16924
2026-03-11T08:59:56.999790+00:00,indodax,USDTIDR,16919,16929,16927
2026-03-11T09:00:59.596046+00:00,indodax,USDTIDR,16919,16920,16920
2026-03-11T09:02:01.864617+00:00,indodax,USDTIDR,16919,16920,16919
2026-03-11T09:03:04.021610+00:00,indodax,USDTIDR,16919,16920,16920
2026-03-11T09:04:05.966144+00:00,indodax,USDTIDR,16919,16920,16920
2026-03-11T09:05:08.001384+00:00,indodax,USDTIDR,16918,16920,16918
2026-03-11T09:06:10.312213+00:00,indodax,USDTIDR,16918,16919,16919
2026-03-11T09:07:12.887346+00:00,indodax,USDTIDR,16918,16919,16918
2026-03-11T09:08:15.385278+00:00,indodax,USDTIDR,16917,16919,16918
2026-03-11T09:09:17.497804+00:00,indodax,USDTIDR,16917,16919,16919
2026-03-11T09:10:19.518508+00:00,indodax,USDTIDR,16914,16918,16914
2026-03-11T09:11:21.644531+00:00,indodax,USDTIDR,16914,16918,16914
2026-03-11T09:12:24.136207+00:00,indodax,USDTIDR,16914,16917,16914
2026-03-11T09:13:26.482401+00:00,indodax,USDTIDR,16914,16917,16914
2026-03-11T09:14:28.678893+00:00,indodax,USDTIDR,16914,16916,16914
2026-03-11T09:15:30.888206+00:00,indodax,USDTIDR,16915,16917,16917
2026-03-11T09:16:32.955512+00:00,indodax,USDTIDR,16915,16917,16915
2026-03-11T09:17:35.474932+00:00,indodax,USDTIDR,16910,16917,16910
2026-03-11T09:18:37.825308+00:00,indodax,USDTIDR,16910,16915,16910
2026-03-11T09:19:40.533657+00:00,indodax,USDTIDR,16912,16914,16912
2026-03-11T09:20:42.890658+00:00,indodax,USDTIDR,16920,16929,16910
2026-03-11T09:21:45.355887+00:00,indodax,USDTIDR,16921,16928,16928
2026-03-11T09:22:47.437435+00:00,indodax,USDTIDR,16920,16922,16920
2026-03-11T09:23:50.072678+00:00,indodax,USDTIDR,16919,16923,16923
2026-03-11T09:24:52.152111+00:00,indodax,USDTIDR,16916,16921,16916
2026-03-11T09:25:53.802591+00:00,indodax,USDTIDR,16914,16920,16914
2026-03-11T09:26:55.935345+00:00,indodax,USDTIDR,16914,16921,16914
2026-03-11T09:27:58.360805+00:00,indodax,USDTIDR,16914,16920,16914
2026-03-11T09:29:00.507416+00:00,indodax,USDTIDR,16915,16920,16920
