timestamp_utc,exchange,pair,best_bid,best_ask,last_price
2026-03-13T03:37:09.871067+00:00,indodax,BTCIDR,1200325000,1200328000,1200328000
2026-03-13T03:38:13.048610+00:00,indodax,BTCIDR,1200324000,1200328000,1200328000
2026-03-13T03:39:16.637217+00:00,indodax,BTCIDR,1200317000,1200328000,1200317000
2026-03-13T03:40:19.175878+00:00,indodax,BTCIDR,1200325000,1200451000,1200451000
2026-03-13T03:41:22.146505+00:00,indodax,BTCIDR,1200330000,1200833000,1200325000
2026-03-13T03:42:24.627319+00:00,indodax,BTCIDR,1200328000,1200833000,1200330000
2026-03-13T03:43:26.283635+00:00,indodax,BTCIDR,1200331000,1200833000,1200330000
2026-03-13T03:44:28.878282+00:00,indodax,BTCIDR,1200832000,1200833000,1200833000
2026-03-13T03:45:30.824684+00:00,indodax,BTCIDR,1200832000,1200833000,1200833000
2026-03-13T03:46:32.738474+00:00,indodax,BTCIDR,1200832000,1200833000,1200833000
2026-03-13T03:47:35.302636+00:00,indodax,BTCIDR,1200832000,1200833000,1200833000
2026-03-13T03:48:38.003547+00:00,indodax,BTCIDR,1200991000,1201000000,1201000000
2026-03-13T03:49:40.409825+00:00,indodax,BTCIDR,1200997000,1200999000,1201000000
2026-03-13T03:50:47.700870+00:00,indodax,BTCIDR,1201514000,1201520000,1201520000
2026-03-13T03:51:49.514867+00:00,indodax,BTCIDR,1201516000,1201520000,1201516000
2026-03-13T03:52:51.464770+00:00,indodax,BTCIDR,1201516000,1201520000,1201520000
2026-03-13T03:53:54.137435+00:00,indodax,BTCIDR,1203001000,1203002000,1203002000
2026-03-13T03:54:56.294323+00:00,indodax,BTCIDR,1203827000,1206361000,1206361000
2026-03-13T03:55:58.672993+00:00,indodax,BTCIDR,1206364000,1206370000,1206370000
2026-03-13T03:57:00.850207+00:00,indodax,BTCIDR,1206362000,1206370000,1206362000
2026-03-13T03:58:02.814449+00:00,indodax,BTCIDR,1206362000,1206370000,1206370000
2026-03-13T03:59:04.679933+00:00,indodax,BTCIDR,1206362000,1206370000,1206362000
2026-03-13T04:00:06.598520+00:00,indodax,BTCIDR,1206362000,1206370000,1206370000
2026-03-13T04:01:08.484169+00:00,indodax,BTCIDR,1206362000,1206368000,1206368000
2026-03-13T04:02:10.686512+00:00,indodax,BTCIDR,1206362000,1206368000,1206368000
2026-03-13T04:03:12.965561+00:00,indodax,BTCIDR,1206362000,1206370000,1206370000
2026-03-13T04:04:15.057110+00:00,indodax,BTCIDR,1206368000,1206370000,1206370000
2026-03-13T04:05:16.696037+00:00,indodax,BTCIDR,1206362000,1206909000,1206909000
2026-03-13T04:06:18.727746+00:00,indodax,BTCIDR,1206362000,1206903000,1206903000
2026-03-13T04:07:21.333088+00:00,indodax,BTCIDR,1206362000,1206900000,1206900000
2026-03-13T04:08:23.562272+00:00,indodax,BTCIDR,1206700000,1206903000,1206903000
2026-03-13T04:09:26.551427+00:00,indodax,BTCIDR,1206700000,1207458000,1206376000
2026-03-13T04:10:28.969749+00:00,indodax,BTCIDR,1206907000,1208131000,1208131000
2026-03-13T04:11:31.387160+00:00,indodax,BTCIDR,1206909000,1208124000,1207178000
2026-03-13T04:12:33.383932+00:00,indodax,BTCIDR,1206909000,1208123000,1208123000
2026-03-13T04:13:35.304781+00:00,indodax,BTCIDR,1206906000,1206913000,1206913000
2026-03-13T04:14:37.097689+00:00,indodax,BTCIDR,1205003000,1206000000,1205003000
2026-03-13T04:15:39.332279+00:00,indodax,BTCIDR,1205000000,1205998000,1205003000
2026-03-13T04:16:41.667692+00:00,indodax,BTCIDR,1205000000,1205990000,1205991000
2026-03-13T04:17:43.916803+00:00,indodax,BTCIDR,1205000000,1205005000,1205005000
2026-03-13T04:18:46.046509+00:00,indodax,BTCIDR,1205001000,1205988000,1205000000
2026-03-13T04:19:48.066679+00:00,indodax,BTCIDR,1205000000,1205988000,1205988000
2026-03-13T04:20:50.403826+00:00,indodax,BTCIDR,1205014000,1205984000,1205001000
2026-03-13T04:21:52.645596+00:00,indodax,BTCIDR,1205020000,1205980000,1205020000
2026-03-13T04:22:55.445796+00:00,indodax,BTCIDR,1205020000,1205689000,1205020000
2026-03-13T04:23:57.898085+00:00,indodax,BTCIDR,1205000000,1205691000,1205000000
2026-03-13T04:25:00.314709+00:00,indodax,BTCIDR,1205000000,1205691000,1205691000
2026-03-13T04:26:03.020649+00:00,indodax,BTCIDR,1205000000,1205002000,1205002000
2026-03-13T04:27:05.353762+00:00,indodax,BTCIDR,1205000000,1205002000,1205000000
2026-03-13T04:28:07.114678+00:00,indodax,BTCIDR,1205000000,1205690000,1205689000
2026-03-13T04:29:09.394475+00:00,indodax,BTCIDR,1205001000,1205687000,1205689000
2026-03-13T04:30:12.072507+00:00,indodax,BTCIDR,1205001000,1205685000,1205685000
2026-03-13T04:31:14.517262+00:00,indodax,BTCIDR,1205000000,1205686000,1205686000
2026-03-13T04:32:16.804325+00:00,indodax,BTCIDR,1205600000,1205686000,1205686000
2026-03-13T04:33:19.059807+00:00,indodax,BTCIDR,1205002000,1205600000,1205600000
2026-03-13T04:34:21.373621+00:00,indodax,BTCIDR,1205006000,1205600000,1205600000
2026-03-13T04:35:23.721883+00:00,indodax,BTCIDR,1204061000,1205600000,1205600000
2026-03-13T04:36:25.985279+00:00,indodax,BTCIDR,1204062000,1205600000,1205600000
2026-03-13T04:37:28.340178+00:00,indodax,BTCIDR,1204062000,1205600000,1205600000
2026-03-13T04:38:30.519587+00:00,indodax,BTCIDR,1204066000,1205600000,1205600000
2026-03-13T04:39:32.490721+00:00,indodax,BTCIDR,1204067000,1205600000,1204067000
2026-03-13T04:40:34.789511+00:00,indodax,BTCIDR,1204072000,1205600000,1205600000
2026-03-13T04:41:37.206550+00:00,indodax,BTCIDR,1204105000,1205600000,1205600000
2026-03-13T04:42:39.280194+00:00,indodax,BTCIDR,1205597000,1205598000,1205598000
2026-03-13T04:43:40.992013+00:00,indodax,BTCIDR,1205597000,1205599000,1205599000
2026-03-13T04:44:43.251848+00:00,indodax,BTCIDR,1205598000,1205599000,1205598000
2026-03-13T04:45:45.566451+00:00,indodax,BTCIDR,1205599000,1205600000,1205599000
2026-03-13T04:46:47.593922+00:00,indodax,BTCIDR,1205598000,1205600000,1205600000
2026-03-13T04:47:49.448295+00:00,indodax,BTCIDR,1205599000,1205600000,1205599000
2026-03-13T04:48:52.637880+00:00,indodax,BTCIDR,1205599000,1205600000,1205599000
2026-03-13T04:49:55.100870+00:00,indodax,BTCIDR,1205598000,1205600000,1205600000
2026-03-13T04:50:57.981557+00:00,indodax,BTCIDR,1205599000,1205600000,1205597000
2026-03-13T04:52:00.043987+00:00,indodax,BTCIDR,1205597000,1205600000,1205600000
2026-03-13T04:53:02.591565+00:00,indodax,BTCIDR,1205597000,1205600000,1205597000
2026-03-13T04:54:04.964047+00:00,indodax,BTCIDR,1205597000,1205600000,1205600000
2026-03-13T04:55:07.071125+00:00,indodax,BTCIDR,1205597000,1205600000,1205600000
2026-03-13T04:56:09.387228+00:00,indodax,BTCIDR,1205597000,1205599000,1205599000
2026-03-13T04:57:11.138419+00:00,indodax,BTCIDR,1205597000,1205599000,1205599000
